index,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_行1,Q9_行2,Q9_行3,Q9_行4,Q9_行5,Q9_行6,Q9_行7,Q9_行8,Q9_行9,Q9_行10,Q9_行11,Q9_行12,Q9_行13,Q9_行14,Q9_行15,Q9_行16,Q10_行1,Q10_行2,Q10_行3,Q10_行4,Q10_行5,Q10_行6,Q10_行7,Q10_行8,Q10_行9,Q10_行10,Q11_行1,Q11_行2,Q11_行3,Q11_行4,Q11_行5,Q11_行6,Q11_行7,Q11_行8,Q11_行9,Q11_行10,Q11_行11,Q11_行12,Q11_行13,Q11_行14,Q11_行15,Q11_行16,Q11_行17,Q11_行18,Q11_行19,Q11_行20,Q11_行21,Q11_行22,Q11_行23,Q11_行24,Q11_行25,Q11_行26,Q11_行27,Q11_行28,Q11_行29,Q11_行30,Q11_行31,Q11_行32,Q11_行33,Q11_行34,Q11_行35,Q11_行36,Q11_行37,Q11_行38,Q11_行39,Q11_行40,Q11_行41,Q11_行42,Q11_行43,Q11_行44,Q11_行45,Q11_行46,Q11_行47,Q11_行48,Q11_行49,Q11_行50,Q11_行51,Q11_行52,totalvalue,T1,T2,T3,N1,N2,N3,N4,S,Z1,Z2,Z3,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13
1,3,1,3,青海省,1,4,3,5,4,3,4,4,3,3,3,3,3,2,2,3,2,4,4,4,4,4,3,4,3,4,4,4,4,3,2,2,3,4,2,3,3,2,3,4,2,3,2,4,2,2,2,3,2,2,2,3,2,3,4,2,2,3,2,2,4,2,2,2,2,2,3,2,3,3,4,3,2,2,2,2,2,3,3,4,4,4,12,51,37,137,18,14,7,12,37,73,30,34,8,13,8,8,9,11,13,13,9,10,13,8,14
2,3,2,3,黑龙江,2,3,3,4,4,3,2,3,3,3,2,3,4,4,5,3,3,2,1,3,2,3,3,4,4,2,3,3,5,5,4,3,4,5,5,3,2,4,1,3,2,3,5,3,5,2,5,3,3,4,4,3,3,4,4,3,3,4,4,3,2,2,4,2,4,4,4,2,4,4,4,2,3,3,3,3,4,3,4,3,4,4,10,48,34,176,15,16,11,6,34,102,39,35,13,14,12,17,18,13,14,14,10,8,15,14,14
3,1,2,2,吉林,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,80,50,218,25,25,15,15,50,118,50,50,16,16,16,16,18,16,16,16,18,18,16,16,20
4,3,2,2,吉林省,1,4,3,5,3,3,3,4,4,3,2,2,3,2,1,1,1,4,5,5,4,4,3,3,4,4,4,3,4,2,3,3,2,3,2,2,3,3,3,3,3,2,2,2,2,1,1,3,3,1,1,2,2,2,1,2,1,2,2,1,3,1,3,2,1,1,2,2,2,2,3,3,2,2,2,3,2,3,3,3,3,4,12,46,35,115,17,12,3,14,35,62,26,27,8,11,9,7,7,8,9,9,10,10,7,9,11
5,3,2,2,青海,2,4,3,4,3,2,3,3,4,2,3,3,3,4,3,2,3,2,3,3,4,3,3,3,2,3,3,3,4,4,4,3,3,4,4,3,4,2,3,4,3,3,3,2,3,4,3,3,2,3,3,4,3,3,3,3,4,3,3,2,3,3,4,3,3,2,3,3,3,3,4,3,3,3,3,2,4,3,3,2,3,3,11,46,32,160,15,15,8,8,32,87,37,36,9,14,13,13,13,12,11,12,12,12,12,13,14
6,3,2,2,吉林省,2,3,4,2,2,2,3,3,2,3,4,4,4,3,2,2,2,4,4,4,4,3,3,3,2,4,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,9,48,30,154,12,18,6,12,30,82,36,36,12,11,12,11,12,12,12,12,12,12,12,12,12
7,2,2,2,青海,2,3,3,3,3,4,3,3,4,3,4,3,4,3,3,3,3,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,3,2,3,3,2,2,3,2,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,2,3,3,2,3,3,2,3,2,2,3,3,2,3,3,2,2,3,3,2,3,9,55,35,138,17,17,9,12,35,72,33,33,11,10,11,10,11,11,10,11,12,11,10,11,9
8,2,2,4,青海省,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,4,4,4,3,4,3,4,3,3,3,4,3,4,4,3,4,3,4,3,4,3,3,4,3,2,4,3,3,4,3,3,4,3,4,3,4,1,3,2,3,4,3,3,4,3,4,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,9,44,35,170,15,14,6,9,35,91,38,41,13,13,14,13,11,13,13,14,14,14,12,12,14
9,3,2,2,吉林省,2,4,3,4,3,2,2,4,3,3,2,4,4,4,4,3,1,4,4,4,4,4,3,3,4,4,4,3,3,2,4,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,1,1,1,1,3,2,2,2,2,2,2,2,3,1,1,3,1,1,3,3,2,2,2,2,2,1,2,3,2,2,3,1,1,2,11,51,34,100,14,17,8,12,34,59,22,19,8,7,12,7,7,8,9,5,9,6,6,7,9
12,3,2,2,青海,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,80,46,260,25,25,15,15,46,140,60,60,20,20,20,20,20,20,20,20,20,20,20,20,20
