index,T1,T2,T3,N1,N2,N3,N4,S,Z1,Z2,Z3,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13
1,51,37,137,18,14,7,12,37,73,30,34,8,13,8,8,9,11,13,13,9,10,13,8,14
2,48,34,176,15,16,11,6,34,102,39,35,13,14,12,17,18,13,14,14,10,8,15,14,14
3,80,50,218,25,25,15,15,50,118,50,50,16,16,16,16,18,16,16,16,18,18,16,16,20
4,46,35,115,17,12,3,14,35,62,26,27,8,11,9,7,7,8,9,9,10,10,7,9,11
5,46,32,160,15,15,8,8,32,87,37,36,9,14,13,13,13,12,11,12,12,12,12,13,14
6,48,30,154,12,18,6,12,30,82,36,36,12,11,12,11,12,12,12,12,12,12,12,12,12
7,55,35,138,17,17,9,12,35,72,33,33,11,10,11,10,11,11,10,11,12,11,10,11,9
8,44,35,170,15,14,6,9,35,91,38,41,13,13,14,13,11,13,13,14,14,14,12,12,14
9,51,34,100,14,17,8,12,34,59,22,19,8,7,12,7,7,8,9,5,9,6,6,7,9
12,80,46,260,25,25,15,15,46,140,60,60,20,20,20,20,20,20,20,20,20,20,20,20,20
13,44,32,151,15,15,3,11,32,81,36,34,12,12,11,11,11,12,12,11,12,11,12,12,12
14,47,31,204,16,11,6,14,31,111,51,42,17,17,17,15,15,15,17,13,18,14,15,18,13
15,33,39,159,10,10,6,7,39,84,37,38,12,12,12,12,12,12,12,14,12,12,13,12,12
17,49,29,209,17,13,9,10,29,114,48,47,17,17,16,18,15,16,17,17,13,14,18,17,14
18,64,38,207,20,20,12,12,38,111,48,48,16,16,16,16,16,16,16,16,16,16,16,16,15
19,59,37,196,17,19,11,12,37,100,47,49,15,14,12,16,15,16,16,16,16,17,16,15,12
20,53,37,199,19,15,7,12,37,105,50,44,17,15,17,16,13,15,13,15,16,14,17,17,14
21,47,47,237,18,11,4,14,47,126,57,54,19,18,19,18,18,18,18,18,19,18,19,19,16
22,50,39,203,20,13,5,12,39,107,48,48,16,15,16,16,16,16,16,16,16,16,16,16,12
23,50,49,196,20,10,5,15,49,115,39,42,18,14,18,19,16,16,18,12,12,14,12,15,12
24,49,36,190,14,15,10,10,36,97,47,46,15,14,14,15,12,16,12,15,15,15,18,14,15
25,39,30,156,11,10,9,9,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
26,53,36,184,18,16,8,11,36,99,47,38,16,11,16,16,15,14,12,10,16,14,15,16,13
27,60,41,206,18,20,11,11,41,108,50,48,15,17,16,13,16,16,14,15,18,17,17,15,17
30,51,38,188,17,13,6,15,38,96,48,44,15,14,14,16,11,14,13,16,16,14,16,16,13
31,53,37,156,17,15,9,12,37,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
32,53,30,164,18,15,7,13,30,86,41,37,14,10,10,14,12,14,12,9,11,14,14,16,14
33,64,40,210,20,20,12,12,40,113,48,49,16,16,16,16,18,17,16,15,16,17,16,16,15
34,48,30,156,15,15,9,9,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
36,59,34,187,21,19,7,12,34,104,42,41,13,15,15,16,15,13,15,15,13,13,14,15,15
42,52,35,192,19,15,6,12,35,106,47,39,16,15,15,16,14,13,15,14,15,12,16,16,15
44,48,30,156,15,15,9,9,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
45,48,28,179,19,13,4,12,28,96,43,40,17,9,16,14,15,16,13,11,16,13,11,16,12
46,57,32,167,21,19,4,13,32,88,42,37,15,11,13,14,11,13,14,12,13,12,14,15,10
47,56,30,164,21,16,9,10,30,88,37,39,15,14,12,11,12,11,14,14,18,14,9,10,10
48,56,24,156,20,15,8,13,24,85,35,36,14,11,13,12,12,11,12,14,11,11,11,13,11
49,48,29,171,17,15,5,11,29,93,38,40,16,12,13,14,13,13,13,14,13,13,12,13,12
51,48,30,156,15,15,9,9,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
52,58,39,199,18,17,11,12,39,109,43,47,17,16,16,14,15,17,15,14,13,16,15,15,16
53,57,35,184,18,17,11,11,35,99,45,40,12,15,13,15,15,14,15,12,14,14,15,16,14
54,44,29,160,17,11,6,10,29,86,39,35,13,11,10,13,13,11,14,11,12,13,14,13,12
55,38,29,168,15,9,3,11,29,82,44,42,11,10,11,16,15,13,10,14,12,15,14,18,9
56,40,33,188,13,10,6,11,33,101,44,43,16,14,15,16,14,16,14,13,14,14,14,16,12
57,54,31,191,18,15,7,14,31,101,44,46,16,12,16,14,14,14,16,16,15,16,15,14,13
58,47,30,160,15,14,9,9,30,85,38,37,13,12,12,12,12,12,12,13,13,12,12,13,12
59,44,36,147,13,12,8,11,36,79,34,34,12,10,12,11,12,11,12,11,11,12,12,11,10
60,43,38,238,16,11,3,13,38,127,56,55,19,20,18,17,19,19,19,19,17,17,19,20,15
61,59,40,175,17,18,9,15,40,103,38,34,15,19,17,10,11,12,16,10,16,12,10,12,15
62,42,32,170,13,13,6,10,32,91,40,39,13,13,12,14,13,12,13,13,13,14,14,13,13
63,20,17,172,6,5,6,3,17,80,48,44,9,10,9,16,15,12,8,17,16,15,17,15,13
65,54,31,156,20,16,6,12,31,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
66,58,39,203,20,20,7,11,39,109,47,47,16,16,16,16,15,16,16,16,15,15,16,16,14
67,60,35,184,21,18,11,10,35,100,43,41,13,15,15,15,13,14,14,12,13,15,15,15,15
68,47,30,156,14,15,9,9,30,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
70,74,19,196,21,25,13,15,19,103,51,42,19,15,14,16,14,16,14,14,16,12,17,18,11
71,48,32,153,14,15,9,10,32,83,35,35,10,12,12,12,11,11,13,12,12,12,11,12,13
72,45,27,141,13,15,7,10,27,75,32,34,12,9,12,10,11,11,10,11,10,12,10,12,11
73,48,30,157,15,15,9,9,30,84,36,37,12,12,12,12,12,13,12,12,12,12,12,12,12
74,48,37,157,15,15,9,9,37,85,36,36,13,12,12,12,12,12,12,12,12,12,12,12,12
75,53,33,175,17,17,9,10,33,93,41,41,15,12,14,13,13,14,14,13,15,14,13,13,12
76,50,34,156,15,15,9,11,34,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
77,51,26,188,17,13,7,14,26,98,49,41,16,11,14,16,14,12,14,16,15,13,15,19,13
79,77,48,242,25,25,12,15,48,127,59,56,18,18,17,20,18,18,18,20,20,18,20,19,18
80,57,40,170,20,20,5,12,40,92,39,39,13,13,13,13,13,13,13,13,13,13,13,13,14
81,38,24,129,14,10,7,7,24,70,30,29,8,11,10,10,10,10,10,10,8,9,11,11,11
83,52,35,192,20,13,7,12,35,103,44,45,16,13,15,16,15,14,15,16,13,15,16,15,13
84,41,35,182,12,12,5,12,35,97,44,41,13,13,14,15,14,14,13,13,13,14,15,16,15
85,52,39,206,16,19,4,13,39,105,50,51,14,9,17,18,18,15,17,20,14,16,16,20,12
86,39,40,208,17,10,6,6,40,112,48,48,16,16,16,16,16,16,16,16,16,16,16,16,16
87,55,34,159,18,17,10,10,34,85,37,37,12,9,13,12,13,12,12,13,12,12,13,12,14
88,46,32,168,14,15,7,10,32,92,38,38,13,11,13,14,15,13,13,13,12,12,14,12,13
89,60,36,202,23,16,8,13,36,104,50,48,15,15,15,15,16,18,14,15,15,15,17,18,14
90,56,35,185,18,17,11,10,35,98,42,45,14,13,15,15,14,15,13,14,13,16,15,14,14
91,48,36,198,20,10,6,12,36,109,47,42,15,16,16,16,16,13,15,15,15,14,15,17,15
92,46,26,156,15,14,8,9,26,84,36,36,12,12,12,12,12,12,12,12,12,12,12,12,12
93,59,40,202,20,19,8,12,40,109,45,48,15,14,16,16,16,15,16,17,14,16,15,16,16
94,39,38,207,15,8,3,13,38,110,48,49,17,16,16,16,15,16,16,17,16,16,16,16,14
95,44,31,152,11,15,9,9,31,78,39,35,13,11,9,14,11,11,10,12,12,12,13,14,10
